Index,stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,stop_headsign,shape_dist_traveled,route_id,customer_route_name,project_subnet
4406,8250DB004122,"Ski Club of Ireland, stop 4122",53.22339,-6.181789644,16592.2.60-44-b12-1.253.I,23:35:59,23:35:59,11, Dundrum Road,4104.71,60-44-b12-1,44,b12
4407,8250DB004123,"Grange Growers, stop 4123",53.22886414,-6.185931546,16592.2.60-44-b12-1.253.I,23:36:36,23:36:36,12, Dundrum Road,4778.28,60-44-b12-1,44,b12
4408,8250DB003283,"Kiltiernan Village, stop 3283",53.23579735,-6.193833179,16592.2.60-44-b12-1.253.I,23:37:35,23:37:35,13, Dundrum Road,5725.18,60-44-b12-1,44,b12
4409,8250DB003284,"Golden Ball, stop 3284",53.23927942,-6.196443348,16592.2.60-44-b12-1.253.I,23:38:02,23:38:02,14, Dundrum Road,6148.65,60-44-b12-1,44,b12
4410,8250DB003310,"Kilternan NS, stop 3310",53.24254382,-6.19892822,16592.2.60-44-b12-1.253.I,23:38:30,23:38:30,15, Dundrum Road,6575.93,60-44-b12-1,44,b12
4411,8250DB003481,"Kilternan Church, stop 3481",53.24388071,-6.199366551,16592.2.60-44-b12-1.253.I,23:38:41,23:38:41,16, Dundrum Road,6727.37,60-44-b12-1,44,b12
4412,8250DB003482,"Palmerston FC, stop 3482",53.24614249,-6.200934908,16592.2.60-44-b12-1.253.I,23:39:00,23:39:00,17, Dundrum Road,7027.36,60-44-b12-1,44,b12
4413,8250DB003483,"Cairnfort, stop 3483",53.24961231,-6.207518116,16592.2.60-44-b12-1.253.I,23:39:38,23:39:38,18, Dundrum Road,7618.23,60-44-b12-1,44,b12
4414,8250DB003484,"Stepaside Lane, stop 3484",53.25271887,-6.213877712,16592.2.60-44-b12-1.253.I,23:40:34,23:40:34,19, Dundrum Road,8172.92,60-44-b12-1,44,b12
4415,8250DB003485,"Kilgobbin Heights, stop 3485",53.25522255,-6.215407098,16592.2.60-44-b12-1.253.I,23:41:01,23:41:01,20, Dundrum Road,8480.03,60-44-b12-1,44,b12
